,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0,Unnamed: 0.1
10,gpt3,object-control-passive,Avery,Casey,False,called upon,to come,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was called upon by Casey to come.

Question: Who was called upon to come, Avery or Casey?
Answer: Avery
Question: Who called upon someone to come, Avery or Casey?
Answer: Casey
Question: Who came, Avery or Casey?
Answer: ", '\n'),10.0,10.0
11,gpt3,object-control-passive,Avery,Casey,False,called upon,to go,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was called upon by Casey to go.

Question: Who called upon someone to go, Avery or Casey?
Answer: Casey
Question: Who was called upon to go, Avery or Casey?
Answer: Avery
Question: Who went, Avery or Casey?
Answer: ", '\n'),11.0,11.0
12,gpt3,object-control-passive,Avery,Casey,False,called upon,to read,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was called upon by Casey to read.

Question: Who called upon someone to read, Avery or Casey?
Answer: Casey
Question: Who was called upon to read, Avery or Casey?
Answer: Avery
Question: Who read, Avery or Casey?
Answer: ", '\n'),12.0,12.0
13,gpt3,object-control-passive,Avery,Casey,False,called upon,to run,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was called upon by Casey to run.

Question: Who was called upon to run, Avery or Casey?
Answer: Avery
Question: Who called upon someone to run, Avery or Casey?
Answer: Casey
Question: Who ran, Avery or Casey?
Answer: ", '\n'),13.0,13.0
14,gpt3,object-control-passive,Avery,Casey,False,called upon,to call,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was called upon by Casey to call.

Question: Who called upon someone to call, Avery or Casey?
Answer: Casey
Question: Who was called upon to call, Avery or Casey?
Answer: Avery
Question: Who called, Avery or Casey?
Answer: ", '\n'),14.0,14.0
15,gpt3,object-control-passive,Avery,Casey,False,reminded,to come,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was reminded by Casey to come.

Question: Who was reminded to come, Avery or Casey?
Answer: Avery
Question: Who reminded someone to come, Avery or Casey?
Answer: Casey
Question: Who came, Avery or Casey?
Answer: ", '\n'),15.0,15.0
16,gpt3,object-control-passive,Avery,Casey,False,reminded,to go,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was reminded by Casey to go.

Question: Who was reminded to go, Avery or Casey?
Answer: Avery
Question: Who reminded someone to go, Avery or Casey?
Answer: Casey
Question: Who went, Avery or Casey?
Answer: ", 'Question'),16.0,16.0
17,gpt3,object-control-passive,Avery,Casey,False,reminded,to read,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was reminded by Casey to read.

Question: Who reminded someone to read, Avery or Casey?
Answer: Casey
Question: Who was reminded to read, Avery or Casey?
Answer: Avery
Question: Who read, Avery or Casey?
Answer: ", '\n'),17.0,17.0
18,gpt3,object-control-passive,Avery,Casey,False,reminded,to run,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was reminded by Casey to run.

Question: Who reminded someone to run, Avery or Casey?
Answer: Casey
Question: Who was reminded to run, Avery or Casey?
Answer: Avery
Question: Who ran, Avery or Casey?
Answer: ", '\n'),18.0,18.0
19,gpt3,object-control-passive,Avery,Casey,False,reminded,to call,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was reminded by Casey to call.

Question: Who reminded someone to call, Avery or Casey?
Answer: Casey
Question: Who was reminded to call, Avery or Casey?
Answer: Avery
Question: Who called, Avery or Casey?
Answer: ", 'Question'),19.0,19.0
20,gpt3,object-control-passive,Avery,Casey,False,urged,to come,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was urged by Casey to come.

Question: Who urged someone to come, Avery or Casey?
Answer: Casey
Question: Who was urged to come, Avery or Casey?
Answer: Avery
Question: Who came, Avery or Casey?
Answer: ", '\n'),20.0,20.0
21,gpt3,object-control-passive,Avery,Casey,False,urged,to go,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was urged by Casey to go.

Question: Who was urged to go, Avery or Casey?
Answer: Avery
Question: Who urged someone to go, Avery or Casey?
Answer: Casey
Question: Who went, Avery or Casey?
Answer: ", '\n'),21.0,21.0
22,gpt3,object-control-passive,Avery,Casey,False,urged,to read,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was urged by Casey to read.

Question: Who was urged to read, Avery or Casey?
Answer: Avery
Question: Who urged someone to read, Avery or Casey?
Answer: Casey
Question: Who read, Avery or Casey?
Answer: ", '\n'),22.0,22.0
23,gpt3,object-control-passive,Avery,Casey,False,urged,to run,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was urged by Casey to run.

Question: Who urged someone to run, Avery or Casey?
Answer: Casey
Question: Who was urged to run, Avery or Casey?
Answer: Avery
Question: Who ran, Avery or Casey?
Answer: ", '\n'),23.0,23.0
24,gpt3,object-control-passive,Avery,Casey,False,urged,to call,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was urged by Casey to call.

Question: Who urged someone to call, Avery or Casey?
Answer: Casey
Question: Who was urged to call, Avery or Casey?
Answer: Avery
Question: Who called, Avery or Casey?
Answer: ", '\n'),24.0,24.0
25,gpt3,object-control-passive,Avery,Casey,False,asked,to come,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was asked by Casey to come.

Question: Who was asked to come, Avery or Casey?
Answer: Avery
Question: Who asked someone to come, Avery or Casey?
Answer: Casey
Question: Who came, Avery or Casey?
Answer: ", '\n'),25.0,25.0
26,gpt3,object-control-passive,Avery,Casey,False,asked,to go,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was asked by Casey to go.

Question: Who was asked to go, Avery or Casey?
Answer: Avery
Question: Who asked someone to go, Avery or Casey?
Answer: Casey
Question: Who went, Avery or Casey?
Answer: ", '\n'),26.0,26.0
27,gpt3,object-control-passive,Avery,Casey,False,asked,to read,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was asked by Casey to read.

Question: Who was asked to read, Avery or Casey?
Answer: Avery
Question: Who asked someone to read, Avery or Casey?
Answer: Casey
Question: Who read, Avery or Casey?
Answer: ", '\n'),27.0,27.0
28,gpt3,object-control-passive,Avery,Casey,False,asked,to run,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was asked by Casey to run.

Question: Who asked someone to run, Avery or Casey?
Answer: Casey
Question: Who was asked to run, Avery or Casey?
Answer: Avery
Question: Who ran, Avery or Casey?
Answer: ", '\n'),28.0,28.0
29,gpt3,object-control-passive,Avery,Casey,False,asked,to call,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was asked by Casey to call.

Question: Who asked someone to call, Avery or Casey?
Answer: Casey
Question: Who was asked to call, Avery or Casey?
Answer: Avery
Question: Who called, Avery or Casey?
Answer: ", '\n'),29.0,29.0
30,gpt3,object-control-passive,Avery,Casey,False,persuaded,to come,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was persuaded by Casey to come.

Question: Who persuaded someone to come, Avery or Casey?
Answer: Casey
Question: Who was persuaded to come, Avery or Casey?
Answer: Avery
Question: Who came, Avery or Casey?
Answer: ", '\n'),30.0,30.0
31,gpt3,object-control-passive,Avery,Casey,False,persuaded,to go,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was persuaded by Casey to go.

Question: Who was persuaded to go, Avery or Casey?
Answer: Avery
Question: Who persuaded someone to go, Avery or Casey?
Answer: Casey
Question: Who went, Avery or Casey?
Answer: ", '\n'),31.0,31.0
32,gpt3,object-control-passive,Avery,Casey,False,persuaded,to read,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was persuaded by Casey to read.

Question: Who persuaded someone to read, Avery or Casey?
Answer: Casey
Question: Who was persuaded to read, Avery or Casey?
Answer: Avery
Question: Who read, Avery or Casey?
Answer: ", '\n'),32.0,32.0
33,gpt3,object-control-passive,Avery,Casey,False,persuaded,to run,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was persuaded by Casey to run.

Question: Who was persuaded to run, Avery or Casey?
Answer: Avery
Question: Who persuaded someone to run, Avery or Casey?
Answer: Casey
Question: Who ran, Avery or Casey?
Answer: ", '\n'),33.0,33.0
34,gpt3,object-control-passive,Avery,Casey,False,persuaded,to call,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was persuaded by Casey to call.

Question: Who was persuaded to call, Avery or Casey?
Answer: Avery
Question: Who persuaded someone to call, Avery or Casey?
Answer: Casey
Question: Who called, Avery or Casey?
Answer: ", '\n'),34.0,34.0
35,gpt3,object-control-passive,Avery,Casey,False,convinced,to come,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was convinced by Casey to come.

Question: Who was convinced to come, Avery or Casey?
Answer: Avery
Question: Who convinced someone to come, Avery or Casey?
Answer: Casey
Question: Who came, Avery or Casey?
Answer: ", '\n'),35.0,35.0
36,gpt3,object-control-passive,Avery,Casey,False,convinced,to go,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was convinced by Casey to go.

Question: Who was convinced to go, Avery or Casey?
Answer: Avery
Question: Who convinced someone to go, Avery or Casey?
Answer: Casey
Question: Who went, Avery or Casey?
Answer: ", '\n'),36.0,36.0
37,gpt3,object-control-passive,Avery,Casey,False,convinced,to read,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was convinced by Casey to read.

Question: Who was convinced to read, Avery or Casey?
Answer: Avery
Question: Who convinced someone to read, Avery or Casey?
Answer: Casey
Question: Who read, Avery or Casey?
Answer: ", '\n'),37.0,37.0
38,gpt3,object-control-passive,Avery,Casey,False,convinced,to run,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was convinced by Casey to run.

Question: Who convinced someone to run, Avery or Casey?
Answer: Casey
Question: Who was convinced to run, Avery or Casey?
Answer: Avery
Question: Who ran, Avery or Casey?
Answer: ", '\n'),38.0,38.0
39,gpt3,object-control-passive,Avery,Casey,False,convinced,to call,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was convinced by Casey to call.

Question: Who convinced someone to call, Avery or Casey?
Answer: Casey
Question: Who was convinced to call, Avery or Casey?
Answer: Avery
Question: Who called, Avery or Casey?
Answer: ", '\n'),39.0,39.0
40,gpt3,object-control-passive,Avery,Casey,False,forced,to come,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was forced by Casey to come.

Question: Who was forced to come, Avery or Casey?
Answer: Avery
Question: Who forced someone to come, Avery or Casey?
Answer: Casey
Question: Who came, Avery or Casey?
Answer: ", '\n'),40.0,40.0
41,gpt3,object-control-passive,Avery,Casey,False,forced,to go,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was forced by Casey to go.

Question: Who forced someone to go, Avery or Casey?
Answer: Casey
Question: Who was forced to go, Avery or Casey?
Answer: Avery
Question: Who went, Avery or Casey?
Answer: ", '\n'),41.0,41.0
42,gpt3,object-control-passive,Avery,Casey,False,forced,to read,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was forced by Casey to read.

Question: Who forced someone to read, Avery or Casey?
Answer: Casey
Question: Who was forced to read, Avery or Casey?
Answer: Avery
Question: Who read, Avery or Casey?
Answer: ", '\n'),42.0,42.0
43,gpt3,object-control-passive,Avery,Casey,False,forced,to run,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was forced by Casey to run.

Question: Who was forced to run, Avery or Casey?
Answer: Avery
Question: Who forced someone to run, Avery or Casey?
Answer: Casey
Question: Who ran, Avery or Casey?
Answer: ", '\n'),43.0,43.0
44,gpt3,object-control-passive,Avery,Casey,False,forced,to call,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was forced by Casey to call.

Question: Who was forced to call, Avery or Casey?
Answer: Avery
Question: Who forced someone to call, Avery or Casey?
Answer: Casey
Question: Who called, Avery or Casey?
Answer: ", '\n'),44.0,44.0
45,gpt3,object-control-passive,Avery,Casey,False,pushed,to come,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was pushed by Casey to come.

Question: Who pushed someone to come, Avery or Casey?
Answer: Casey
Question: Who was pushed to come, Avery or Casey?
Answer: Avery
Question: Who came, Avery or Casey?
Answer: ", '\n'),45.0,45.0
46,gpt3,object-control-passive,Avery,Casey,False,pushed,to go,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was pushed by Casey to go.

Question: Who pushed someone to go, Avery or Casey?
Answer: Casey
Question: Who was pushed to go, Avery or Casey?
Answer: Avery
Question: Who went, Avery or Casey?
Answer: ", '\n'),46.0,46.0
47,gpt3,object-control-passive,Avery,Casey,False,pushed,to read,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was pushed by Casey to read.

Question: Who was pushed to read, Avery or Casey?
Answer: Avery
Question: Who pushed someone to read, Avery or Casey?
Answer: Casey
Question: Who read, Avery or Casey?
Answer: ", '\n'),47.0,47.0
48,gpt3,object-control-passive,Avery,Casey,False,pushed,to run,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was pushed by Casey to run.

Question: Who pushed someone to run, Avery or Casey?
Answer: Casey
Question: Who was pushed to run, Avery or Casey?
Answer: Avery
Question: Who ran, Avery or Casey?
Answer: ", '\n'),48.0,48.0
49,gpt3,object-control-passive,Avery,Casey,False,pushed,to call,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was pushed by Casey to call.

Question: Who was pushed to call, Avery or Casey?
Answer: Avery
Question: Who pushed someone to call, Avery or Casey?
Answer: Casey
Question: Who called, Avery or Casey?
Answer: ", '\n'),49.0,49.0
50,gpt3,object-control-passive,Avery,Joseph,False,told,to come,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was told by Joseph to come.

Question: Who was told to come, Avery or Joseph?
Answer: Avery
Question: Who told someone to come, Avery or Joseph?
Answer: Joseph
Question: Who came, Avery or Joseph?
Answer: ", '\n'),50.0,50.0
51,gpt3,object-control-passive,Avery,Joseph,False,told,to go,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was told by Joseph to go.

Question: Who was told to go, Avery or Joseph?
Answer: Avery
Question: Who told someone to go, Avery or Joseph?
Answer: Joseph
Question: Who went, Avery or Joseph?
Answer: ", '\n'),51.0,51.0
52,gpt3,object-control-passive,Avery,Joseph,False,told,to read,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was told by Joseph to read.

Question: Who was told to read, Avery or Joseph?
Answer: Avery
Question: Who told someone to read, Avery or Joseph?
Answer: Joseph
Question: Who read, Avery or Joseph?
Answer: ", '\n'),52.0,52.0
53,gpt3,object-control-passive,Avery,Joseph,False,told,to run,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was told by Joseph to run.

Question: Who was told to run, Avery or Joseph?
Answer: Avery
Question: Who told someone to run, Avery or Joseph?
Answer: Joseph
Question: Who ran, Avery or Joseph?
Answer: ", '\n'),53.0,53.0
54,gpt3,object-control-passive,Avery,Joseph,False,told,to call,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was told by Joseph to call.

Question: Who told someone to call, Avery or Joseph?
Answer: Joseph
Question: Who was told to call, Avery or Joseph?
Answer: Avery
Question: Who called, Avery or Joseph?
Answer: ", '\n'),54.0,54.0
55,gpt3,object-control-passive,Avery,Joseph,False,ordered,to come,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was ordered by Joseph to come.

Question: Who was ordered to come, Avery or Joseph?
Answer: Avery
Question: Who ordered someone to come, Avery or Joseph?
Answer: Joseph
Question: Who came, Avery or Joseph?
Answer: ", '\n'),55.0,55.0
56,gpt3,object-control-passive,Avery,Joseph,False,ordered,to go,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was ordered by Joseph to go.

Question: Who ordered someone to go, Avery or Joseph?
Answer: Joseph
Question: Who was ordered to go, Avery or Joseph?
Answer: Avery
Question: Who went, Avery or Joseph?
Answer: ", '\n'),56.0,56.0
57,gpt3,object-control-passive,Avery,Joseph,False,ordered,to read,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was ordered by Joseph to read.

Question: Who was ordered to read, Avery or Joseph?
Answer: Avery
Question: Who ordered someone to read, Avery or Joseph?
Answer: Joseph
Question: Who read, Avery or Joseph?
Answer: ", '\n'),57.0,57.0
58,gpt3,object-control-passive,Avery,Joseph,False,ordered,to run,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was ordered by Joseph to run.

Question: Who ordered someone to run, Avery or Joseph?
Answer: Joseph
Question: Who was ordered to run, Avery or Joseph?
Answer: Avery
Question: Who ran, Avery or Joseph?
Answer: ", '\n'),58.0,58.0
59,gpt3,object-control-passive,Avery,Joseph,False,ordered,to call,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was ordered by Joseph to call.

Question: Who was ordered to call, Avery or Joseph?
Answer: Avery
Question: Who ordered someone to call, Avery or Joseph?
Answer: Joseph
Question: Who called, Avery or Joseph?
Answer: ", '\n'),59.0,59.0
60,gpt3,object-control-passive,Avery,Joseph,False,called upon,to come,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was called upon by Joseph to come.

Question: Who called upon someone to come, Avery or Joseph?
Answer: Joseph
Question: Who was called upon to come, Avery or Joseph?
Answer: Avery
Question: Who came, Avery or Joseph?
Answer: ", '\n'),60.0,60.0
61,gpt3,object-control-passive,Avery,Joseph,False,called upon,to go,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was called upon by Joseph to go.

Question: Who was called upon to go, Avery or Joseph?
Answer: Avery
Question: Who called upon someone to go, Avery or Joseph?
Answer: Joseph
Question: Who went, Avery or Joseph?
Answer: ", '\n'),61.0,61.0
62,gpt3,object-control-passive,Avery,Joseph,False,called upon,to read,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was called upon by Joseph to read.

Question: Who was called upon to read, Avery or Joseph?
Answer: Avery
Question: Who called upon someone to read, Avery or Joseph?
Answer: Joseph
Question: Who read, Avery or Joseph?
Answer: ", '\n'),62.0,62.0
63,gpt3,object-control-passive,Avery,Joseph,False,called upon,to run,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was called upon by Joseph to run.

Question: Who was called upon to run, Avery or Joseph?
Answer: Avery
Question: Who called upon someone to run, Avery or Joseph?
Answer: Joseph
Question: Who ran, Avery or Joseph?
Answer: ", '\n'),63.0,63.0
64,gpt3,object-control-passive,Avery,Joseph,False,called upon,to call,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was called upon by Joseph to call.

Question: Who was called upon to call, Avery or Joseph?
Answer: Avery
Question: Who called upon someone to call, Avery or Joseph?
Answer: Joseph
Question: Who called, Avery or Joseph?
Answer: ", '\n'),64.0,64.0
65,gpt3,object-control-passive,Avery,Joseph,False,reminded,to come,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was reminded by Joseph to come.

Question: Who reminded someone to come, Avery or Joseph?
Answer: Joseph
Question: Who was reminded to come, Avery or Joseph?
Answer: Avery
Question: Who came, Avery or Joseph?
Answer: ", '\n'),65.0,65.0
66,gpt3,object-control-passive,Avery,Joseph,False,reminded,to go,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was reminded by Joseph to go.

Question: Who reminded someone to go, Avery or Joseph?
Answer: Joseph
Question: Who was reminded to go, Avery or Joseph?
Answer: Avery
Question: Who went, Avery or Joseph?
Answer: ", 'Question'),66.0,66.0
67,gpt3,object-control-passive,Avery,Joseph,False,reminded,to read,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was reminded by Joseph to read.

Question: Who was reminded to read, Avery or Joseph?
Answer: Avery
Question: Who reminded someone to read, Avery or Joseph?
Answer: Joseph
Question: Who read, Avery or Joseph?
Answer: ", 'Question'),67.0,67.0
68,gpt3,object-control-passive,Avery,Joseph,False,reminded,to run,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was reminded by Joseph to run.

Question: Who was reminded to run, Avery or Joseph?
Answer: Avery
Question: Who reminded someone to run, Avery or Joseph?
Answer: Joseph
Question: Who ran, Avery or Joseph?
Answer: ", 'Question'),68.0,68.0
69,gpt3,object-control-passive,Avery,Joseph,False,reminded,to call,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was reminded by Joseph to call.

Question: Who reminded someone to call, Avery or Joseph?
Answer: Joseph
Question: Who was reminded to call, Avery or Joseph?
Answer: Avery
Question: Who called, Avery or Joseph?
Answer: ", 'Question'),69.0,69.0
70,gpt3,object-control-passive,Avery,Joseph,False,urged,to come,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was urged by Joseph to come.

Question: Who urged someone to come, Avery or Joseph?
Answer: Joseph
Question: Who was urged to come, Avery or Joseph?
Answer: Avery
Question: Who came, Avery or Joseph?
Answer: ", '\n'),70.0,70.0
71,gpt3,object-control-passive,Avery,Joseph,False,urged,to go,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was urged by Joseph to go.

Question: Who was urged to go, Avery or Joseph?
Answer: Avery
Question: Who urged someone to go, Avery or Joseph?
Answer: Joseph
Question: Who went, Avery or Joseph?
Answer: ", '\n'),71.0,71.0
72,gpt3,object-control-passive,Avery,Joseph,False,urged,to read,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was urged by Joseph to read.

Question: Who urged someone to read, Avery or Joseph?
Answer: Joseph
Question: Who was urged to read, Avery or Joseph?
Answer: Avery
Question: Who read, Avery or Joseph?
Answer: ", '\n'),72.0,72.0
73,gpt3,object-control-passive,Avery,Joseph,False,urged,to run,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was urged by Joseph to run.

Question: Who urged someone to run, Avery or Joseph?
Answer: Joseph
Question: Who was urged to run, Avery or Joseph?
Answer: Avery
Question: Who ran, Avery or Joseph?
Answer: ", '\n'),73.0,73.0
74,gpt3,object-control-passive,Avery,Joseph,False,urged,to call,Joseph,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery was urged by Joseph to call.

Question: Who urged someone to call, Avery or Joseph?
Answer: Joseph
Question: Who was urged to call, Avery or Joseph?
Answer: Avery
Question: Who called, Avery or Joseph?
Answer: ", '\n'),74.0,74.0
