,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
29,jurassic-jumbo,object-control,Avery,Casey,False,asked,to call,Casey,other,"You will be given a context and a question.
Context: Avery asked Casey to call.

Question: Who asked someone to call?
Answer: Avery
Question: Who was asked to call?
Answer: Casey
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery asked Casey to call.\n\nQuestion: Who asked someone to call?\nAnswer: Avery\nQuestion: Who was asked to call?\nAnswer: Casey\nQuestion: Who called?\nAnswer: ', '?\n')",29.0,29.0,29.0
30,jurassic-jumbo,object-control,Avery,Casey,False,persuaded,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery persuaded Casey to come.

Question: Who was persuaded to come?
Answer: Casey
Question: Who persuaded someone to come?
Answer: Avery
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery persuaded Casey to come.\n\nQuestion: Who was persuaded to come?\nAnswer: Casey\nQuestion: Who persuaded someone to come?\nAnswer: Avery\nQuestion: Who came?\nAnswer: ', '(A')",30.0,30.0,30.0
31,jurassic-jumbo,object-control,Avery,Casey,False,persuaded,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery persuaded Casey to go.

Question: Who was persuaded to go?
Answer: Casey
Question: Who persuaded someone to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery persuaded Casey to go.\n\nQuestion: Who was persuaded to go?\nAnswer: Casey\nQuestion: Who persuaded someone to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', '(A')",31.0,31.0,31.0
32,jurassic-jumbo,object-control,Avery,Casey,False,persuaded,to read,Casey,other,"You will be given a context and a question.
Context: Avery persuaded Casey to read.

Question: Who persuaded someone to read?
Answer: Avery
Question: Who was persuaded to read?
Answer: Casey
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery persuaded Casey to read.\n\nQuestion: Who persuaded someone to read?\nAnswer: Avery\nQuestion: Who was persuaded to read?\nAnswer: Casey\nQuestion: Who read?\nAnswer: ', '(Both')",32.0,32.0,32.0
33,jurassic-jumbo,object-control,Avery,Casey,False,persuaded,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery persuaded Casey to run.

Question: Who was persuaded to run?
Answer: Casey
Question: Who persuaded someone to run?
Answer: Avery
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery persuaded Casey to run.\n\nQuestion: Who was persuaded to run?\nAnswer: Casey\nQuestion: Who persuaded someone to run?\nAnswer: Avery\nQuestion: Who ran?\nAnswer: ', '(A')",33.0,33.0,33.0
34,jurassic-jumbo,object-control,Avery,Casey,False,persuaded,to call,Casey,other,"You will be given a context and a question.
Context: Avery persuaded Casey to call.

Question: Who was persuaded to call?
Answer: Casey
Question: Who persuaded someone to call?
Answer: Avery
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery persuaded Casey to call.\n\nQuestion: Who was persuaded to call?\nAnswer: Casey\nQuestion: Who persuaded someone to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: ', '____')",34.0,34.0,34.0
35,jurassic-jumbo,object-control,Avery,Casey,False,convinced,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery convinced Casey to come.

Question: Who convinced someone to come?
Answer: Avery
Question: Who was convinced to come?
Answer: Casey
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery convinced Casey to come.\n\nQuestion: Who convinced someone to come?\nAnswer: Avery\nQuestion: Who was convinced to come?\nAnswer: Casey\nQuestion: Who came?\nAnswer: ', '(A')",35.0,35.0,35.0
36,jurassic-jumbo,object-control,Avery,Casey,False,convinced,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery convinced Casey to go.

Question: Who convinced someone to go?
Answer: Avery
Question: Who was convinced to go?
Answer: Casey
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery convinced Casey to go.\n\nQuestion: Who convinced someone to go?\nAnswer: Avery\nQuestion: Who was convinced to go?\nAnswer: Casey\nQuestion: Who went?\nAnswer: ', '(A')",36.0,36.0,36.0
37,jurassic-jumbo,object-control,Avery,Casey,False,convinced,to read,Casey,other,"You will be given a context and a question.
Context: Avery convinced Casey to read.

Question: Who convinced someone to read?
Answer: Avery
Question: Who was convinced to read?
Answer: Casey
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery convinced Casey to read.\n\nQuestion: Who convinced someone to read?\nAnswer: Avery\nQuestion: Who was convinced to read?\nAnswer: Casey\nQuestion: Who read?\nAnswer: ', '(Both')",37.0,37.0,37.0
38,jurassic-jumbo,object-control,Avery,Casey,False,convinced,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery convinced Casey to run.

Question: Who convinced someone to run?
Answer: Avery
Question: Who was convinced to run?
Answer: Casey
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery convinced Casey to run.\n\nQuestion: Who convinced someone to run?\nAnswer: Avery\nQuestion: Who was convinced to run?\nAnswer: Casey\nQuestion: Who ran?\nAnswer: ', '(A')",38.0,38.0,38.0
39,jurassic-jumbo,object-control,Avery,Casey,False,convinced,to call,Casey,Avery,"You will be given a context and a question.
Context: Avery convinced Casey to call.

Question: Who convinced someone to call?
Answer: Avery
Question: Who was convinced to call?
Answer: Casey
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery convinced Casey to call.\n\nQuestion: Who convinced someone to call?\nAnswer: Avery\nQuestion: Who was convinced to call?\nAnswer: Casey\nQuestion: Who called?\nAnswer: ', '(A')",39.0,39.0,39.0
40,jurassic-jumbo,object-control,Avery,Casey,False,forced,to come,Casey,other,"You will be given a context and a question.
Context: Avery forced Casey to come.

Question: Who forced someone to come?
Answer: Avery
Question: Who was forced to come?
Answer: Casey
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery forced Casey to come.\n\nQuestion: Who forced someone to come?\nAnswer: Avery\nQuestion: Who was forced to come?\nAnswer: Casey\nQuestion: Who came?\nAnswer: ', '(Both')",40.0,40.0,40.0
41,jurassic-jumbo,object-control,Avery,Casey,False,forced,to go,Casey,other,"You will be given a context and a question.
Context: Avery forced Casey to go.

Question: Who forced someone to go?
Answer: Avery
Question: Who was forced to go?
Answer: Casey
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery forced Casey to go.\n\nQuestion: Who forced someone to go?\nAnswer: Avery\nQuestion: Who was forced to go?\nAnswer: Casey\nQuestion: Who went?\nAnswer: ', '(Both')",41.0,41.0,41.0
42,jurassic-jumbo,object-control,Avery,Casey,False,forced,to read,Casey,Casey,"You will be given a context and a question.
Context: Avery forced Casey to read.

Question: Who was forced to read?
Answer: Casey
Question: Who forced someone to read?
Answer: Avery
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery forced Casey to read.\n\nQuestion: Who was forced to read?\nAnswer: Casey\nQuestion: Who forced someone to read?\nAnswer: Avery\nQuestion: Who read?\nAnswer: ', '(Case')",42.0,42.0,42.0
43,jurassic-jumbo,object-control,Avery,Casey,False,forced,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery forced Casey to run.

Question: Who was forced to run?
Answer: Casey
Question: Who forced someone to run?
Answer: Avery
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery forced Casey to run.\n\nQuestion: Who was forced to run?\nAnswer: Casey\nQuestion: Who forced someone to run?\nAnswer: Avery\nQuestion: Who ran?\nAnswer: ', '(A')",43.0,43.0,43.0
44,jurassic-jumbo,object-control,Avery,Casey,False,forced,to call,Casey,other,"You will be given a context and a question.
Context: Avery forced Casey to call.

Question: Who was forced to call?
Answer: Casey
Question: Who forced someone to call?
Answer: Avery
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery forced Casey to call.\n\nQuestion: Who was forced to call?\nAnswer: Casey\nQuestion: Who forced someone to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: ', '____')",44.0,44.0,44.0
45,jurassic-jumbo,object-control,Avery,Casey,False,pushed,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery pushed Casey to come.

Question: Who was pushed to come?
Answer: Casey
Question: Who pushed someone to come?
Answer: Avery
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery pushed Casey to come.\n\nQuestion: Who was pushed to come?\nAnswer: Casey\nQuestion: Who pushed someone to come?\nAnswer: Avery\nQuestion: Who came?\nAnswer: ', '(A')",45.0,45.0,45.0
46,jurassic-jumbo,object-control,Avery,Casey,False,pushed,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery pushed Casey to go.

Question: Who pushed someone to go?
Answer: Avery
Question: Who was pushed to go?
Answer: Casey
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery pushed Casey to go.\n\nQuestion: Who pushed someone to go?\nAnswer: Avery\nQuestion: Who was pushed to go?\nAnswer: Casey\nQuestion: Who went?\nAnswer: ', '(A')",46.0,46.0,46.0
47,jurassic-jumbo,object-control,Avery,Casey,False,pushed,to read,Casey,other,"You will be given a context and a question.
Context: Avery pushed Casey to read.

Question: Who pushed someone to read?
Answer: Avery
Question: Who was pushed to read?
Answer: Casey
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery pushed Casey to read.\n\nQuestion: Who pushed someone to read?\nAnswer: Avery\nQuestion: Who was pushed to read?\nAnswer: Casey\nQuestion: Who read?\nAnswer: ', '____')",47.0,47.0,47.0
48,jurassic-jumbo,object-control,Avery,Casey,False,pushed,to run,Casey,other,"You will be given a context and a question.
Context: Avery pushed Casey to run.

Question: Who pushed someone to run?
Answer: Avery
Question: Who was pushed to run?
Answer: Casey
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery pushed Casey to run.\n\nQuestion: Who pushed someone to run?\nAnswer: Avery\nQuestion: Who was pushed to run?\nAnswer: Casey\nQuestion: Who ran?\nAnswer: ', '____')",48.0,48.0,48.0
49,jurassic-jumbo,object-control,Avery,Casey,False,pushed,to call,Casey,other,"You will be given a context and a question.
Context: Avery pushed Casey to call.

Question: Who pushed someone to call?
Answer: Avery
Question: Who was pushed to call?
Answer: Casey
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery pushed Casey to call.\n\nQuestion: Who pushed someone to call?\nAnswer: Avery\nQuestion: Who was pushed to call?\nAnswer: Casey\nQuestion: Who called?\nAnswer: ', '____')",49.0,49.0,49.0
50,jurassic-jumbo,object-control,Avery,Joseph,False,told,to come,Joseph,other,"You will be given a context and a question.
Context: Avery told Joseph to come.

Question: Who was told to come?
Answer: Joseph
Question: Who told someone to come?
Answer: Avery
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery told Joseph to come.\n\nQuestion: Who was told to come?\nAnswer: Joseph\nQuestion: Who told someone to come?\nAnswer: Avery\nQuestion: Who came?\nAnswer: ', '____')",50.0,50.0,50.0
51,jurassic-jumbo,object-control,Avery,Joseph,False,told,to go,Joseph,other,"You will be given a context and a question.
Context: Avery told Joseph to go.

Question: Who was told to go?
Answer: Joseph
Question: Who told someone to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery told Joseph to go.\n\nQuestion: Who was told to go?\nAnswer: Joseph\nQuestion: Who told someone to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', '____')",51.0,51.0,51.0
52,jurassic-jumbo,object-control,Avery,Joseph,False,told,to read,Joseph,other,"You will be given a context and a question.
Context: Avery told Joseph to read.

Question: Who was told to read?
Answer: Joseph
Question: Who told someone to read?
Answer: Avery
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery told Joseph to read.\n\nQuestion: Who was told to read?\nAnswer: Joseph\nQuestion: Who told someone to read?\nAnswer: Avery\nQuestion: Who read?\nAnswer: ', '____')",52.0,52.0,52.0
53,jurassic-jumbo,object-control,Avery,Joseph,False,told,to run,Joseph,other,"You will be given a context and a question.
Context: Avery told Joseph to run.

Question: Who was told to run?
Answer: Joseph
Question: Who told someone to run?
Answer: Avery
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery told Joseph to run.\n\nQuestion: Who was told to run?\nAnswer: Joseph\nQuestion: Who told someone to run?\nAnswer: Avery\nQuestion: Who ran?\nAnswer: ', '____')",53.0,53.0,53.0
54,jurassic-jumbo,object-control,Avery,Joseph,False,told,to call,Joseph,other,"You will be given a context and a question.
Context: Avery told Joseph to call.

Question: Who told someone to call?
Answer: Avery
Question: Who was told to call?
Answer: Joseph
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery told Joseph to call.\n\nQuestion: Who told someone to call?\nAnswer: Avery\nQuestion: Who was told to call?\nAnswer: Joseph\nQuestion: Who called?\nAnswer: ', '____')",54.0,54.0,54.0
55,jurassic-jumbo,object-control,Avery,Joseph,False,ordered,to come,Joseph,other,"You will be given a context and a question.
Context: Avery ordered Joseph to come.

Question: Who was ordered to come?
Answer: Joseph
Question: Who ordered someone to come?
Answer: Avery
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery ordered Joseph to come.\n\nQuestion: Who was ordered to come?\nAnswer: Joseph\nQuestion: Who ordered someone to come?\nAnswer: Avery\nQuestion: Who came?\nAnswer: ', '____')",55.0,55.0,55.0
56,jurassic-jumbo,object-control,Avery,Joseph,False,ordered,to go,Joseph,other,"You will be given a context and a question.
Context: Avery ordered Joseph to go.

Question: Who was ordered to go?
Answer: Joseph
Question: Who ordered someone to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery ordered Joseph to go.\n\nQuestion: Who was ordered to go?\nAnswer: Joseph\nQuestion: Who ordered someone to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', '____')",56.0,56.0,56.0
